sample_id,qc_type,TG 52:2 [-16:0],TG 52:3 [-16:1],TG 52:3 [-18:2],TG 52:4 [-16:0],TG 52:4 [-18:1],TG 53:2 [-17:0],TG 54:2 [-18:0],TG 54:3 [-18:1],TG 54:4 [-18:0],TG 54:4 [-18:2],TG 54:5 [-18:1],TG 54:6 [-18:2],TG 56:6 [-20:4],TG 56:8 [-20:4],TG 58:8 [-22:6]
LT_batch2_28,SAMPLE,2000.5418648806074,108.54183794437402,1147.4403459413743,454.0854759822016,214.55264234856892,25.342982916182308,361.9695432509745,856.2640070671612,39.70501853226351,67.66477940085565,178.27871381391176,118.31734681857147,26.38712132524355,12.261563202816628,56.96989640803313
LT_batch2_29,SAMPLE,746.9202674758784,45.72367526418407,477.23590105600266,250.33719514854312,118.87337913013461,12.9105464922522,120.93683757693454,401.5936239752353,18.094079864994054,36.539251095482506,119.30098016511738,75.78506425112897,12.41750531146128,6.626255096760899,4.340679774151174
LT_batch2_30,SAMPLE,778.8264333096139,45.5264679238826,430.3296230534935,150.39600932189384,72.1996406809439,9.858648659158625,76.17843361078118,213.36924908869798,8.373444441714893,13.670505181431759,39.25370497666855,18.96004054444147,9.796326331469121,2.7743583485278034,5.813960413445063
LT_batch2_31,SAMPLE,325.2130313647395,33.60129177163606,182.97092390155373,57.94399890135246,41.663579876851784,3.9740794308979375,34.24549230793591,163.30648933465852,5.1504429990296225,13.558486258589445,33.55390023166748,12.538106958519808,7.412759127732888,2.0331025981383535,10.622569331402502
LT_batch2_32,SAMPLE,2599.528981236245,177.30528025701184,1361.6676484492145,508.91881562118675,302.405594110754,31.795250182818055,461.73905214790784,1054.6812647332033,43.68496718652551,68.73104231608187,206.47575586027494,107.59697838421258,25.502995002533112,11.354193116489784,43.39546666854894
LT_batch2_33,SAMPLE,327.69786703102926,29.50992775689865,235.7524969236434,105.68185005432336,44.19283421787513,5.8077142386360405,37.18461506181856,122.66198755863499,7.95325511328781,14.24578194069104,40.81088919959652,19.884027037325847,5.475200893674951,1.9234254375335305,2.679198980944063
LT_batch2_34,SAMPLE,542.101491372272,36.09405148790994,277.48715899335787,87.94003453078952,47.826619127123834,7.108319868609581,79.16204039545181,197.66224617906443,7.836616780886494,15.343590510923084,32.40202594297382,11.658746524195196,13.041028257119994,3.846192967676613,5.302742997327289
LT_batch2_35,SAMPLE,969.0821067663975,59.95543318762629,527.9667421080118,177.6185851550487,108.88692478853699,13.98812569724888,112.20756567436771,371.78524819031566,13.696304412423997,26.93155199045478,80.07866888846301,27.85784454270257,13.230987660684377,3.474040017334842,11.424633905979116
LT_batch2_36,SAMPLE,251.37412679137447,18.998203092208335,191.36608263005198,73.73411066397638,33.99387704953198,4.889524470604291,25.03675169388865,84.98222030653113,7.510036345068542,11.138771845230927,26.129894162168277,15.043864048819746,4.765534854270341,1.5417787402970256,3.2189645837719767
LT_batch2_37,SAMPLE,331.7006196736181,30.55650532196993,212.20175134428658,80.90083698786702,43.99777845640989,7.061919811473784,42.33875220142221,149.45112821960578,6.692012294164977,13.781773453075868,31.607415710271134,15.123518315809974,9.014417483994125,3.260556105776172,17.87741118247876
LT_batch2_38,SAMPLE,538.6534976967604,39.89150591477504,350.80965708154656,176.24400460899906,80.67428306964781,8.108215826348124,61.98293245594458,219.64116713215122,12.120720919949346,22.444619550175023,69.9416935583154,44.53950941807603,9.981921700271604,3.5974924928893866,5.976702305106787
LT_batch2_39,SAMPLE,391.5520892041412,32.8596457141116,234.57995119925323,98.57622496115158,57.1578619500137,7.449434975531549,45.662930379422654,193.41747175325415,13.95009454174049,17.57620070646536,52.210220352962914,25.04539421442279,7.895083605658643,2.4751589997658443,11.19889216040277
LT_batch2_40,SAMPLE,907.6965118494454,51.41740544343926,597.3963472773255,296.2045837653158,139.42361364998598,19.673500604373796,129.3591560214802,330.65431447228116,25.282556802963903,33.89981204776872,90.80356497306346,54.93004500835992,15.446761668457526,8.772928484352462,5.197080381704118
LT_batch2_41,SAMPLE,791.8368766203655,42.6200862553699,463.3743745698093,174.2368551662207,82.09660092456296,13.010258465153282,87.50939350434844,216.62644168211105,11.069224007280758,17.625598056192988,45.655946361579346,20.91279609728556,10.001289492941504,3.560511997910799,6.582066231385854
LT_batch2_42,SAMPLE,684.8445578483905,35.25973849730802,407.85191891603404,143.5797189841693,58.51118224355803,10.069791533683063,86.13942742317496,214.3229427337936,9.858005608252833,16.76575615765811,42.11252633785974,16.139504713804016,10.070900395957029,2.8758050502217847,8.00031002146397
